Source IP,Destination IP,Source Port,Destination Port,Protocol,Latency (ms)
172.217.168.182,10.0.2.15,443,60815,UDP,0.287
172.217.168.182,10.0.2.15,443,60815,UDP,0.175
10.0.2.15,172.217.168.182,60815,443,UDP,0.201
172.217.168.182,10.0.2.15,443,60815,UDP,0.462
10.0.2.15,172.217.168.182,60815,443,UDP,0.016
10.0.2.15,172.217.168.182,60815,443,UDP,0.165
172.217.168.182,10.0.2.15,443,60815,UDP,0.432
172.217.168.182,10.0.2.15,443,60815,UDP,2.082
10.0.2.15,172.217.168.182,60815,443,UDP,0.225
172.217.168.182,10.0.2.15,443,60815,UDP,0.258
172.217.168.182,10.0.2.15,443,60815,UDP,0.255
10.0.2.15,172.217.168.182,60815,443,UDP,0.140
172.217.168.182,10.0.2.15,443,60815,UDP,0.309
172.217.168.182,10.0.2.15,443,60815,UDP,0.123
10.0.2.15,172.217.168.182,60815,443,UDP,0.157
172.217.168.182,10.0.2.15,443,60815,UDP,1.552
172.217.168.182,10.0.2.15,443,60815,UDP,0.055
10.0.2.15,172.217.168.182,60815,443,UDP,0.180
172.217.168.182,10.0.2.15,443,60815,UDP,0.326
172.217.168.182,10.0.2.15,443,60815,UDP,0.206
10.0.2.15,172.217.168.182,60815,443,UDP,0.168
172.217.168.182,10.0.2.15,443,60815,UDP,0.391
172.217.168.182,10.0.2.15,443,60815,UDP,0.099
74.125.4.8,10.0.2.15,443,59754,UDP,32.105
10.0.2.15,74.125.4.8,59754,443,UDP,0.074
74.125.4.8,10.0.2.15,443,59754,UDP,0.100
10.0.2.15,74.125.4.8,59754,443,UDP,0.190
74.125.4.8,10.0.2.15,443,59754,UDP,0.360
10.0.2.15,74.125.4.8,59754,443,UDP,0.296
10.0.2.15,74.125.4.8,59754,443,UDP,0.460
142.250.200.97,10.0.2.15,443,48780,UDP,27.392
10.0.2.15,142.250.200.97,48780,443,UDP,0.294
74.125.4.8,10.0.2.15,443,59754,UDP,0.457
142.250.200.97,10.0.2.15,443,48780,UDP,0.806
142.250.200.97,10.0.2.15,443,48780,UDP,0.245
142.250.200.97,10.0.2.15,443,48780,UDP,3.232
74.125.4.8,10.0.2.15,443,59754,UDP,6.903
142.250.200.97,10.0.2.15,443,48780,UDP,0.294
74.125.4.8,10.0.2.15,443,59754,UDP,0.303
142.250.200.97,10.0.2.15,443,48780,UDP,0.433
142.250.200.97,10.0.2.15,443,48780,UDP,0.028
142.250.200.97,10.0.2.15,443,48780,UDP,2.068
74.125.4.8,10.0.2.15,443,59754,UDP,0.006
142.250.200.97,10.0.2.15,443,48780,UDP,0.002
10.0.2.15,142.250.200.97,48780,443,UDP,1.086
74.125.4.8,10.0.2.15,443,59754,UDP,1.804
142.250.200.97,10.0.2.15,443,48780,UDP,0.981
142.250.200.97,10.0.2.15,443,48780,UDP,2.469
74.125.4.8,10.0.2.15,443,59754,UDP,0.197
142.250.200.97,10.0.2.15,443,48780,UDP,0.202
74.125.4.8,10.0.2.15,443,59754,UDP,0.311
142.250.200.97,10.0.2.15,443,48780,UDP,1.974
10.0.2.15,74.125.4.8,59754,443,UDP,3.097
74.125.4.8,10.0.2.15,443,59754,UDP,0.205
142.250.200.97,10.0.2.15,443,48780,UDP,0.170
142.250.200.97,10.0.2.15,443,48780,UDP,0.126
10.0.2.15,74.125.4.8,59754,443,UDP,0.358
10.0.2.15,142.250.200.97,48780,443,UDP,0.176
142.250.200.97,10.0.2.15,443,48780,UDP,0.241
142.250.200.97,10.0.2.15,443,48780,UDP,5.076
10.0.2.15,142.250.200.97,48780,443,UDP,0.234
74.125.4.8,10.0.2.15,443,59754,UDP,0.659
142.250.200.97,10.0.2.15,443,48780,UDP,0.221
74.125.4.8,10.0.2.15,443,59754,UDP,0.236
142.250.200.97,10.0.2.15,443,48780,UDP,0.122
10.0.2.15,142.250.200.97,48780,443,UDP,0.191
10.0.2.15,74.125.4.8,59754,443,UDP,0.627
216.58.209.78,10.0.2.15,443,38074,TCP,95.354
172.217.168.182,10.0.2.15,443,60815,UDP,22.976
10.0.2.15,172.217.168.182,60815,443,UDP,0.307
172.217.168.182,10.0.2.15,443,60815,UDP,0.294
172.217.168.182,10.0.2.15,443,60815,UDP,0.376
10.0.2.15,172.217.168.182,60815,443,UDP,0.223
74.125.4.8,10.0.2.15,443,59754,UDP,6.959
